1,210,,194,193,,168,,578,2018-03-20,177817.62
2,,71,61,116,221,,39,,2019-09-02,161711.17
3,984,193,96,166,353,513,,,2019-03-21,5376.76
4,800,134,107,241,,986,,,2022-05-11,183611.25
5,47,52,39,780,59,,62,639,2018-09-05,162795.19
6,629,,113,274,289,110,,,2020-11-26,184380.33
7,391,8,6,159,,,,,2021-03-19,6778.96
8,403,167,58,480,147,,,863,2020-02-23,4495.13
9,256,261,170,324,62,610,19,,2021-02-27,82475.35
10,997,,56,452,252,,,376,2020-09-14,3138.25
11,,150,87,596,,358,50,759,2018-02-08,3165.75
12,883,292,42,222,321,,,854,2022-03-15,182219.61
13,240,101,169,204,237,331,,,2022-09-02,4941.08
14,648,181,128,21,,251,,589,2018-08-07,9706.93
15,593,40,132,759,,497,,,2023-06-01,25095.68
16,,,106,437,398,946,79,391,2018-03-28,120870.09
17,,67,82,891,,,,,2018-08-06,45911.74
18,682,61,184,882,242,,,,2018-06-12,6212.46
19,,257,166,989,379,,20,,2021-03-14,3818.05
20,764,162,146,419,294,645,,,2023-10-18,79377.12
21,114,289,69,298,,,,,2019-06-01,5343.22
22,473,277,107,232,,,,648,2019-03-27,26238.29
23,449,,70,320,56,665,90,434,2019-04-30,2425.22
24,,126,137,113,383,35,,703,2020-01-07,4678.53
25,277,,125,307,,,,,2021-12-31,7467.22
26,509,199,31,748,,263,,325,2018-05-26,9198.14
27,,97,57,845,,2,,551,2023-11-13,140338.45
28,396,17,91,768,230,975,90,,2021-07-27,143751.64
29,960,171,140,199,,,91,67,2018-10-26,6248.11
30,412,,106,2,427,,,200,2019-01-03,3777.57
31,258,8,189,543,178,,,,2022-04-07,3954.92
32,217,37,104,680,,,,894,2023-11-08,120.24
33,791,,180,108,49,939,,,2018-01-06,161813.72
34,705,192,83,28,285,14,12,105,2020-02-10,213114.11
35,,172,28,431,,498,,,2020-02-26,4212.34
36,566,15,96,785,102,71,,,2020-03-07,9653.15
37,615,,91,875,347,79,68,,2018-03-13,8531.33
38,,,168,106,166,984,,,2021-06-26,187126.98
39,,9,38,507,,,,,2020-04-27,1153.24
40,473,208,78,535,184,,,,2019-12-08,1484.98
41,318,35,95,749,386,,,,2023-06-26,70866.12
42,375,192,18,343,257,741,,100,2018-09-23,6502.20
43,,70,95,217,325,455,26,,2022-08-05,1301.58
44,,,86,288,,,,903,2023-04-24,8886.64
45,185,81,165,871,,299,80,,2023-12-09,9514.47
46,357,245,123,133,,642,,,2019-01-21,234069.34
47,45,,167,561,197,863,,,2023-03-02,8193.24
48,469,292,199,296,,,,,2021-06-03,1230.58
49,482,,35,565,,485,,404,2019-08-16,1819.74
50,296,157,147,539,162,,25,804,2023-07-26,57667.47
51,46,,52,403,,670,,898,2023-09-26,99988.10
52,821,,144,618,,,,687,2021-01-13,7683.85
53,726,,92,684,,650,,,2018-02-05,4174.57
54,,,5,249,,472,,918,2022-07-15,6101.57
55,256,,156,576,,441,16,,2023-05-02,5540.82
56,,14,131,325,,5,,,2018-01-31,9625.05
57,108,,182,635,339,,,618,2022-11-13,5037.16
58,36,108,158,777,,112,,,2018-07-05,215604.42
59,,112,152,700,68,409,,509,2022-08-20,4344.97
60,69,,102,854,93,490,15,,2021-05-12,9464.92
61,114,25,80,490,,814,54,147,2020-07-01,5455.01
62,,76,104,745,45,,9,657,2020-08-11,7278.38
63,,189,179,745,18,319,57,,2023-01-12,22693.26
64,632,182,36,212,115,706,,579,2022-01-09,161139.86
65,753,,1,374,398,98,,,2021-10-28,2877.21
66,978,,186,825,481,667,74,42,2020-01-12,750.49
67,341,,91,746,,753,,931,2022-03-10,49068.57
68,862,139,51,91,,,,,2018-11-10,2438.81
