1,,988,876,20,36,80,,558,165,2022-02-25,375.55
2,891,228,30,132,9,93,,,52,2022-10-18,2297.42
3,688,,127,85,79,59,,,68,2019-09-26,5676.78
4,679,,796,11,46,67,161,868,97,2023-11-24,6909.78
5,846,420,375,140,53,51,146,,183,2022-10-17,5855.94
6,284,333,784,156,5,93,34,,16,2022-12-13,248073.67
7,,75,992,16,75,75,24,,99,2019-09-10,5981.02
8,732,257,98,95,16,40,,,149,2022-08-21,6126.05
9,309,143,843,194,96,39,243,616,87,2020-10-02,8889.66
10,199,837,742,124,78,57,,,95,2021-09-02,6316.69
11,976,444,389,199,79,22,98,,17,2021-01-11,1387.39
12,707,950,947,200,77,54,,,84,2019-12-22,8990.57
13,26,203,579,198,96,9,,,148,2020-03-22,4786.39
14,,353,861,45,79,40,163,,63,2018-10-15,9854.37
15,798,293,246,91,98,100,60,,81,2019-08-29,246213.27
16,664,347,691,72,90,35,87,,69,2018-12-26,9495.74
17,82,,145,81,83,19,154,327,31,2023-12-26,13405.87
18,269,647,394,172,28,44,106,620,11,2020-11-10,780.10
19,639,,679,162,36,18,282,,183,2018-04-23,1978.36
20,,469,593,78,85,92,90,204,155,2021-01-22,146117.44
21,373,,150,196,50,74,58,673,13,2018-03-22,108.76
22,799,532,290,12,45,46,251,405,16,2022-12-01,85500.35
23,236,540,38,106,91,54,6,55,162,2021-04-11,7885.07
24,474,,284,171,54,99,160,182,164,2018-03-18,67921.69
25,,12,43,41,2,52,111,830,47,2022-03-02,85500.35
26,104,172,157,83,31,13,126,45,129,2018-04-21,5604.57
27,779,209,248,34,93,6,,646,136,2018-09-13,844.46
28,,,253,72,13,84,209,,7,2023-07-19,88525.34
29,,576,101,117,53,54,,701,116,2022-08-24,6156.26
30,,746,670,160,81,15,159,,63,2018-03-13,1517.91
31,730,756,698,84,53,86,290,475,58,2020-09-21,4263.09
32,590,,496,56,55,28,61,588,151,2022-05-23,5339.90
33,70,,417,70,2,27,,812,88,2019-08-11,178454.84
34,145,186,614,138,72,46,210,965,129,2018-08-11,242089.59
35,,966,948,193,35,55,171,,27,2021-06-25,12526.93
36,245,763,130,172,50,1,73,,144,2020-01-16,69826.05
37,702,211,130,147,47,88,107,907,120,2018-01-18,3116.50
38,75,887,372,73,13,36,36,792,185,2021-06-19,147509.08
39,,720,637,148,94,68,52,756,25,2022-04-17,9906.04
40,,821,877,166,60,27,83,,166,2020-03-16,2249.38
41,806,124,714,141,84,92,121,910,67,2018-09-19,249663.08
42,,247,553,198,15,4,,494,95,2022-03-03,6718.83
43,587,340,769,177,9,37,,391,141,2023-11-27,8293.85
44,862,,227,15,77,21,,,111,2019-03-18,9597.56
45,514,244,256,186,90,8,224,,89,2023-01-08,547.46
46,610,366,699,149,97,77,20,688,108,2023-04-16,4437.12
