1,,Miejscowosc 1,77,83,27-226,
2,Miasto 2,,89,,76-149,Ulica 7
3,,Miejscowosc 3,86,9,64-068,Ulica 71
4,Miasto 4,,15,,25-930,Ulica 29
5,,Miejscowosc 5,88,62,02-463,
6,Miasto 6,,17,,05-438,Ulica 36
7,,Miejscowosc 7,1,7,84-109,
8,Miasto 8,,88,,78-946,Ulica 72
9,,Miejscowosc 9,58,5,73-539,
10,Miasto 10,,31,,71-176,Ulica 87
11,,Miejscowosc 11,33,52,38-946,Ulica 99
12,Miasto 12,,99,,55-408,Ulica 73
13,,Miejscowosc 13,32,23,75-174,
14,Miasto 14,,39,,53-023,Ulica 52
15,,Miejscowosc 15,42,15,04-515,Ulica 55
16,Miasto 16,,20,,35-508,Ulica 37
17,,Miejscowosc 17,14,31,28-202,Ulica 4
18,Miasto 18,,11,,13-639,Ulica 93
19,,Miejscowosc 19,72,52,52-907,Ulica 37
20,Miasto 20,,21,,98-174,Ulica 37
21,,Miejscowosc 21,7,76,99-249,Ulica 13
22,Miasto 22,,57,,93-346,Ulica 31
23,,Miejscowosc 23,78,92,09-396,Ulica 71
24,Miasto 24,,35,,35-697,Ulica 88
25,,Miejscowosc 25,23,84,01-985,Ulica 58
26,Miasto 26,,27,,74-696,Ulica 37
27,,Miejscowosc 27,97,11,42-435,Ulica 35
28,Miasto 28,,70,,74-754,Ulica 44
29,,Miejscowosc 29,57,92,22-671,Ulica 100
30,Miasto 30,,30,,67-036,Ulica 6
31,,Miejscowosc 31,76,85,43-853,Ulica 91
32,Miasto 32,,64,,91-538,Ulica 79
33,,Miejscowosc 33,66,81,73-853,Ulica 58
34,Miasto 34,,76,,87-715,Ulica 23
35,,Miejscowosc 35,42,11,04-218,Ulica 73
36,Miasto 36,,63,,33-509,Ulica 85
37,,Miejscowosc 37,76,48,09-989,Ulica 63
38,Miasto 38,,68,,75-439,Ulica 8
39,,Miejscowosc 39,58,31,05-359,Ulica 70
40,Miasto 40,,93,,01-293,Ulica 100
41,,Miejscowosc 41,3,20,77-289,Ulica 6
42,Miasto 42,,97,,93-643,Ulica 48
43,,Miejscowosc 43,43,56,20-977,Ulica 52
