1,,Miejscowosc 1,82,60,78-245,
2,Miasto 2,,67,,71-508,Ulica 71
3,,Miejscowosc 3,99,78,82-666,Ulica 3
4,Miasto 4,,77,,39-806,Ulica 75
5,,Miejscowosc 5,53,13,37-359,
6,Miasto 6,,28,,90-634,Ulica 82
7,,Miejscowosc 7,45,18,62-182,
8,Miasto 8,,72,,83-953,Ulica 81
9,,Miejscowosc 9,51,3,90-071,
10,Miasto 10,,87,,99-898,Ulica 64
11,,Miejscowosc 11,81,35,97-828,Ulica 59
12,Miasto 12,,92,,54-191,Ulica 66
13,,Miejscowosc 13,55,68,79-744,
14,Miasto 14,,7,,55-190,Ulica 84
15,,Miejscowosc 15,94,31,88-299,Ulica 93
16,Miasto 16,,4,,74-807,Ulica 16
17,,Miejscowosc 17,98,13,62-148,Ulica 100
18,Miasto 18,,56,,91-958,Ulica 38
19,,Miejscowosc 19,83,99,46-863,Ulica 51
20,Miasto 20,,45,,34-695,Ulica 34
21,,Miejscowosc 21,71,64,93-275,Ulica 67
22,Miasto 22,,34,,19-313,Ulica 61
23,,Miejscowosc 23,37,48,70-188,Ulica 11
24,Miasto 24,,92,,91-764,Ulica 90
25,,Miejscowosc 25,32,6,62-051,Ulica 20
26,Miasto 26,,62,,39-177,Ulica 1
27,,Miejscowosc 27,35,18,51-052,Ulica 37
28,Miasto 28,,23,,20-602,Ulica 25
29,,Miejscowosc 29,14,5,47-960,Ulica 94
30,Miasto 30,,64,,92-744,Ulica 16
31,,Miejscowosc 31,75,67,60-888,Ulica 48
32,Miasto 32,,69,,45-716,Ulica 16
33,,Miejscowosc 33,80,77,74-435,Ulica 40
34,Miasto 34,,18,,62-149,Ulica 73
35,,Miejscowosc 35,74,35,35-183,Ulica 82
36,Miasto 36,,22,,99-207,Ulica 91
37,,Miejscowosc 37,83,48,62-657,Ulica 64
38,Miasto 38,,60,,29-622,Ulica 100
39,,Miejscowosc 39,67,48,87-737,Ulica 74
40,Miasto 40,,12,,38-036,Ulica 22
41,,Miejscowosc 41,90,70,22-038,Ulica 64
42,Miasto 42,,61,,19-845,Ulica 31
43,,Miejscowosc 43,38,33,78-243,Ulica 80
44,Miasto 44,,66,,90-074,Ulica 99
45,,Miejscowosc 45,14,22,20-963,Ulica 92
46,Miasto 46,,73,,32-261,Ulica 7
47,,Miejscowosc 47,8,10,09-805,Ulica 97
