1,Model 1,5,coupe,S,4/5,13.30,2535
2,Model 2,1,limousine,C,2/3,13.41,1777
3,Model 3,1,minivan,A,2/3,15.22,1563
4,Model 4,1,targa,C,2/3,8.37,1446
5,Model 5,1,pickup,M,2/3,11.06,2436
6,Model 6,4,liftback,H,2/3,7.75,2053
7,Model 7,3,liftback,J,2/3,6.51,2985
8,Model 8,8,targa,B,4/5,5.10,2970
9,Model 9,13,minivan,E,4/5,12.35,1204
10,Model 10,6,SUV,E,2/3,6.11,3236
11,Model 11,3,coupe,S,4/5,11.92,1425
12,Model 12,8,cabriolet,F,2/3,12.44,1266
13,Model 13,6,coupe,C,4/5,8.80,1015
14,Model 14,3,pickup,F,2/3,13.34,2409
15,Model 15,8,cabriolet,H,2/3,6.01,2547
16,Model 16,9,cabriolet,E,4/5,7.17,2945
17,Model 17,4,van,A,2/3,14.86,1476
18,Model 18,1,cabriolet,S,4/5,6.34,3277
19,Model 19,10,roadster,A,4/5,7.74,1406
20,Model 20,8,cabriolet,S,4/5,5.81,1306
21,Model 21,1,coupe,J,4/5,7.60,2062
22,Model 22,7,roadster,C,4/5,5.38,2645
23,Model 23,8,dual cowl,E,2/3,7.77,2682
24,Model 24,3,targa,F,2/3,13.17,2062
25,Model 25,5,targa,E,2/3,9.50,1662
26,Model 26,1,sedan,E,4/5,5.04,1616
27,Model 27,4,targa,C,2/3,7.28,2475
28,Model 28,8,shooting brake,C,2/3,9.07,2878
29,Model 29,13,targa,H,4/5,9.82,2391
30,Model 30,13,cabriolet,M,2/3,6.12,3111
31,Model 31,13,shooting brake,J,2/3,10.87,1987
32,Model 32,6,microvan,H,2/3,15.09,1333
33,Model 33,11,limousine,C,2/3,8.04,3052
34,Model 34,9,fastback,J,4/5,12.14,1429
35,Model 35,3,targa,D,2/3,5.05,1480
36,Model 36,1,SUV,C,4/5,10.28,2727
37,Model 37,11,SUV,A,4/5,11.37,2962
38,Model 38,12,microvan,B,4/5,11.49,1047
39,Model 39,2,roadster,M,4/5,6.26,1349
40,Model 40,5,cabriolet,A,2/3,11.11,2525
41,Model 41,13,estate,F,2/3,7.26,1302
42,Model 42,13,fastback,H,4/5,7.97,1840
43,Model 43,10,van,H,2/3,10.44,2696
44,Model 44,2,roadster,D,4/5,10.85,2740
45,Model 45,3,shooting brake,A,4/5,5.61,2403
46,Model 46,3,targa,B,4/5,5.57,2508
47,Model 47,11,dual cowl,B,2/3,12.24,2708
48,Model 48,9,fastback,M,2/3,9.54,3126
49,Model 49,8,van,B,4/5,13.87,1855
50,Model 50,10,cabriolet,C,2/3,10.19,1921
51,Model 51,13,estate,S,2/3,9.66,1670
52,Model 52,11,microvan,A,4/5,8.56,1163
53,Model 53,10,hatchback,E,2/3,8.34,2284
54,Model 54,10,hatchback,H,2/3,6.49,1057
55,Model 55,4,liftback,M,2/3,15.39,2021
56,Model 56,2,shooting brake,H,4/5,11.72,2948
57,Model 57,8,dual cowl,M,2/3,6.47,2035
58,Model 58,1,pickup,S,4/5,14.76,2781
59,Model 59,12,van,E,2/3,11.62,2851
60,Model 60,11,hatchback,J,2/3,11.94,3035
61,Model 61,8,sedan,J,2/3,9.21,1747
62,Model 62,11,minivan,A,2/3,7.39,2382
63,Model 63,13,dual cowl,H,2/3,5.98,1909
64,Model 64,10,liftback,C,4/5,5.47,3052
65,Model 65,3,liftback,H,2/3,12.98,1871
66,Model 66,9,shooting brake,J,2/3,10.35,2441
67,Model 67,6,targa,M,4/5,9.96,1226
68,Model 68,13,minivan,E,4/5,12.71,2117
69,Model 69,13,microvan,A,2/3,7.14,3164
70,Model 70,5,limousine,S,2/3,11.83,2993
71,Model 71,8,van,J,2/3,13.47,1215
72,Model 72,7,dual cowl,B,4/5,11.04,2210
73,Model 73,1,SUV,H,4/5,9.58,1829
74,Model 74,13,minivan,J,4/5,13.80,3244
75,Model 75,4,hatchback,M,4/5,7.91,2338
76,Model 76,8,hatchback,M,2/3,10.76,1080
77,Model 77,10,coupe,D,4/5,14.31,2974
78,Model 78,11,SUV,J,4/5,6.26,2225
79,Model 79,4,estate,F,4/5,5.36,1219
80,Model 80,11,coupe,M,4/5,11.54,2479
81,Model 81,9,SUV,C,4/5,8.66,1487
82,Model 82,10,shooting brake,D,2/3,11.01,1881
83,Model 83,12,fastback,E,2/3,11.75,3277
84,Model 84,1,hatchback,B,2/3,7.53,1621
85,Model 85,1,limousine,C,2/3,7.54,1305
86,Model 86,5,fastback,D,2/3,5.95,2666
87,Model 87,4,limousine,D,2/3,6.70,1074
88,Model 88,7,limousine,A,2/3,9.39,2975
89,Model 89,6,minivan,S,4/5,10.22,2343
90,Model 90,5,minivan,D,2/3,13.47,2680
91,Model 91,11,coupe,E,2/3,13.79,1111
92,Model 92,10,liftback,J,4/5,10.00,2576
93,Model 93,10,limousine,C,2/3,5.75,1372
94,Model 94,9,dual cowl,A,4/5,6.41,3287
95,Model 95,3,dual cowl,D,4/5,9.51,2186
96,Model 96,13,estate,D,2/3,9.21,3063
97,Model 97,6,dual cowl,M,2/3,5.85,3246
98,Model 98,1,van,E,2/3,9.58,3110
99,Model 99,10,minivan,B,2/3,6.72,1022
100,Model 100,11,SUV,J,2/3,13.60,2901
