1,948,195,112,355,486,434,617,62,NULL,2018-07-10,1353.25
2,268,101,88,297,235,NULL,721,NULL,NULL,2022-10-07,1714.90
3,992,34,10,763,53,NULL,431,84,84,2022-05-21,6191.31
4,86,154,113,195,195,NULL,NULL,NULL,NULL,2020-07-26,6498.58
5,NULL,124,128,983,NULL,478,879,87,NULL,2018-11-30,2385.34
6,527,18,67,396,261,470,698,NULL,975,2021-09-04,127674.49
7,NULL,NULL,6,221,274,202,NULL,54,445,2023-09-22,4180.61
8,NULL,99,81,701,NULL,NULL,NULL,NULL,766,2019-06-07,137481.92
9,958,NULL,187,783,252,NULL,248,15,NULL,2019-05-20,205562.61
10,NULL,96,38,317,56,176,868,68,NULL,2018-06-14,8338.57
11,724,251,85,427,88,322,146,NULL,774,2023-05-12,6046.28
12,574,6,106,81,NULL,NULL,NULL,NULL,793,2021-01-03,73444.32
13,485,NULL,62,566,277,170,37,NULL,NULL,2023-06-04,1335.12
14,467,35,85,411,354,NULL,797,NULL,NULL,2023-08-06,5815.15
15,NULL,252,176,192,NULL,69,246,NULL,522,2023-12-04,223251.14
16,NULL,252,54,737,NULL,NULL,76,NULL,422,2019-02-01,90883.81
17,365,297,37,233,NULL,NULL,700,27,712,2023-10-06,1978.06
18,519,49,101,700,139,NULL,210,NULL,NULL,2021-01-11,182153.69
19,NULL,225,8,962,NULL,227,154,NULL,22,2020-06-08,1316.69
20,90,93,146,215,46,NULL,24,NULL,NULL,2020-05-09,230429.09
21,952,120,39,887,122,371,NULL,38,946,2019-12-29,7937.64
22,950,1,182,585,NULL,379,990,NULL,497,2022-07-03,6022.72
23,283,12,186,409,NULL,NULL,585,NULL,NULL,2021-04-04,7802.58
24,304,25,89,895,NULL,461,NULL,NULL,838,2022-12-30,4946.82
25,772,NULL,38,673,NULL,21,427,NULL,226,2021-06-18,4506.61
26,NULL,NULL,125,230,NULL,336,662,24,NULL,2023-09-11,5093.05
27,33,202,150,178,45,496,904,89,NULL,2020-06-06,9195.12
28,NULL,38,83,757,127,310,414,60,NULL,2023-01-29,3766.39
29,869,NULL,163,185,367,NULL,NULL,NULL,NULL,2022-07-26,75253.45
30,227,80,8,166,8,NULL,470,81,NULL,2021-02-26,2733.09
31,189,NULL,77,167,363,NULL,954,85,NULL,2019-03-08,4319.90
32,NULL,133,2,396,464,97,446,NULL,NULL,2023-07-13,163901.19
33,572,186,173,7,366,NULL,970,NULL,375,2019-03-01,111970.88
34,19,159,71,876,77,NULL,NULL,49,812,2020-11-07,245312.36
35,875,NULL,197,36,428,NULL,111,45,NULL,2018-11-29,141891.23
36,118,268,135,385,469,NULL,194,NULL,NULL,2023-06-21,643.24
37,973,41,116,365,283,158,247,73,298,2018-07-10,8813.52
38,857,NULL,41,609,NULL,NULL,NULL,NULL,728,2018-07-25,3665.47
39,336,199,199,526,233,22,444,95,668,2021-02-22,3598.40
40,NULL,99,34,419,NULL,NULL,171,NULL,946,2020-01-20,653.51
41,NULL,185,80,657,487,242,289,34,841,2018-06-02,7843.07
42,820,234,120,921,NULL,126,NULL,NULL,58,2020-08-25,69569.69
