1,Stanowisko 1,14
2,Stanowisko 2,29
3,Stanowisko 3,9
4,Stanowisko 4,28
5,Stanowisko 5,18
6,Stanowisko 6,24
7,Stanowisko 7,23
8,Stanowisko 8,50
9,Stanowisko 9,32
10,Stanowisko 10,29
11,Stanowisko 11,50
12,Stanowisko 12,23
13,Stanowisko 13,43
14,Stanowisko 14,15
15,Stanowisko 15,32
16,Stanowisko 16,26
17,Stanowisko 17,50
18,Stanowisko 18,31
19,Stanowisko 19,50
20,Stanowisko 20,14
21,Stanowisko 21,37
22,Stanowisko 22,13
23,Stanowisko 23,9
24,Stanowisko 24,14
25,Stanowisko 25,11
26,Stanowisko 26,20
27,Stanowisko 27,25
28,Stanowisko 28,20
29,Stanowisko 29,40
30,Stanowisko 30,29
31,Stanowisko 31,11
32,Stanowisko 32,32
33,Stanowisko 33,23
34,Stanowisko 34,43
35,Stanowisko 35,29
36,Stanowisko 36,29
37,Stanowisko 37,26
38,Stanowisko 38,18
39,Stanowisko 39,12
40,Stanowisko 40,5
41,Stanowisko 41,47
42,Stanowisko 42,8
43,Stanowisko 43,39
44,Stanowisko 44,44
45,Stanowisko 45,30
46,Stanowisko 46,8
47,Stanowisko 47,8
48,Stanowisko 48,47
49,Stanowisko 49,30
50,Stanowisko 50,10
51,Stanowisko 51,33
52,Stanowisko 52,8
53,Stanowisko 53,28
54,Stanowisko 54,46
55,Stanowisko 55,44
56,Stanowisko 56,21
57,Stanowisko 57,6
58,Stanowisko 58,7
59,Stanowisko 59,48
60,Stanowisko 60,22
61,Stanowisko 61,6
62,Stanowisko 62,47
63,Stanowisko 63,6
64,Stanowisko 64,44
65,Stanowisko 65,42
66,Stanowisko 66,20
67,Stanowisko 67,17
68,Stanowisko 68,33
69,Stanowisko 69,13
70,Stanowisko 70,47
71,Stanowisko 71,43
72,Stanowisko 72,20
73,Stanowisko 73,31
74,Stanowisko 74,8
75,Stanowisko 75,44
76,Stanowisko 76,5
77,Stanowisko 77,17
78,Stanowisko 78,16
79,Stanowisko 79,48
80,Stanowisko 80,35
81,Stanowisko 81,8
82,Stanowisko 82,6
83,Stanowisko 83,16
84,Stanowisko 84,44
85,Stanowisko 85,25
86,Stanowisko 86,10
87,Stanowisko 87,19
88,Stanowisko 88,6
89,Stanowisko 89,46
90,Stanowisko 90,43
91,Stanowisko 91,18
92,Stanowisko 92,32
93,Stanowisko 93,6
94,Stanowisko 94,21
95,Stanowisko 95,49
96,Stanowisko 96,34
97,Stanowisko 97,32
98,Stanowisko 98,49
99,Stanowisko 99,28
100,Stanowisko 100,22
